id,nome,quotazione_2026,genere_musicale,anno_nascita,prima_partecipazione,debuttante_2026
1,Tommaso Paradiso,17,,1983.0,,1
2,Fedez & Marco Masini,17,Hip-hop,1987.0,2021.0,0
3,Arisa,16,Pop,1982.0,2021.0,0
4,Dargen D'Amico,16,Hip-hop,1980.0,2022.0,0
5,Ermal Meta,16,Pop,1981.0,2021.0,0
6,LDA & Aka 7even,15,Pop,2000.0,2022.0,0
7,Levante,15,Pop,1987.0,2023.0,0
8,Luche,15,,1981.0,,1
9,Malika Ayane,15,Pop/Rock,1984.0,2021.0,0
10,Michele Bravi,15,Pop,1994.0,2022.0,0
11,Serena Brancale,15,Pop,1989.0,2025.0,0
12,Bambole di Pezza,14,Rock,,,1
13,Eddie Brock,14,,1997.0,,1
14,Elettra Lamborghini,14,,1994.0,,1
15,Fulminacci,14,,1997.0,2021.0,0
16,Leo Gassmann,14,,1998.0,2023.0,0
17,Mara Sattei,14,,1995.0,2023.0,0
18,Nayt,14,Hip-hop,1994.0,,1
19,Samurai Jay,14,,1998.0,,1
20,Chiello,13,,1999.0,,1
21,Ditonellapiaga,13,Indie Pop,1997.0,2022.0,0
22,Enrico Nigiotti,13,,1987.0,,1
23,Francesco Renga,13,Pop/Rock,1968.0,2021.0,0
24,J-Ax,13,Hip-hop,1972.0,,1
25,Maria Antonietta & Colombre,13,,1982.0,,1
26,Patty Pravo,13,Pop,1948.0,,1
27,Raf,13,Pop,1959.0,,1
28,Sal Da Vinci,13,Pop,1969.0,,1
29,Sayf,13,Hip-hop,1999.0,,1
30,Tredici Pietro,13,,1997.0,,1
