id,artista_id,viralita_social,social_followers_total,social_followers_by_platform,social_followers_last_updated,storia_bonus_ottenuti,ad_personam_bonus_count,ad_personam_bonus_points,artista_nome
1,1,79.0,193000.0,"{""youtube_channel"": 193000}",2025-04-14,0,0,0,Tommaso Paradiso
2,2,96.0,2518897.0,"{""youtube_channel"": 2486000, ""x_twitter_numeric"": 32897}",2025-05-11,440,0,0,Fedez & Marco Masini
3,3,86.0,571723.0,"{""x_twitter_numeric"": 479323, ""youtube_channel"": 92400}",2025-02-01,235,1,10,Arisa
4,4,,,{},,855,0,0,Dargen D'Amico
5,5,87.0,665306.0,"{""x_twitter_numeric"": 270306, ""youtube_channel"": 395000}",2025-05-18,275,0,0,Ermal Meta
6,6,84.0,403129.0,"{""youtube_channel"": 294100, ""x_twitter_numeric"": 109029}",2025-05-18,633,1,10,LDA & Aka 7even
7,7,78.0,154511.0,"{""x_twitter_numeric"": 45511, ""youtube_channel"": 109000}",2025-07-05,265,1,10,Levante
8,8,86.0,515194.0,"{""x_twitter_numeric"": 47194, ""youtube_channel"": 468000}",2025-08-24,0,0,0,Luche
9,9,85.0,453327.0,"{""x_twitter_numeric"": 285327, ""youtube_channel"": 168000}",2025-05-18,195,1,10,Malika Ayane
10,10,92.0,1451708.0,"{""x_twitter_numeric"": 869708, ""youtube_channel"": 582000}",2024-04-29,320,0,0,Michele Bravi
11,11,67.0,31500.0,"{""youtube_channel"": 31500}",2025-08-24,228,0,0,Serena Brancale
12,12,,,{},,0,1,10,Bambole di Pezza
13,13,,,{},,0,1,10,Eddie Brock
14,14,94.0,1895009.0,"{""x_twitter_numeric"": 545009, ""youtube_channel"": 1350000}",2025-04-24,0,0,0,Elettra Lamborghini
15,15,,,{},,155,1,10,Fulminacci
16,16,69.0,38400.0,"{""youtube_channel"": 38400}",2025-01-26,128,0,0,Leo Gassmann
17,17,83.0,341000.0,"{""youtube_channel"": 341000}",2021-07-03,178,0,0,Mara Sattei
18,18,75.0,100000.0,"{""youtube_channel"": 100000}",2025-10-25,0,0,0,Nayt
19,19,76.0,113000.0,"{""youtube_channel"": 113000}",2025-12-06,0,1,10,Samurai Jay
20,20,68.0,34900.0,"{""youtube_channel"": 34900}",2025-05-18,0,1,3,Chiello
21,21,66.0,23816.0,"{""youtube_channel"": 11300, ""x_twitter_numeric"": 12516}",2025-02-22,285,0,0,Ditonellapiaga
22,22,78.0,158000.0,"{""youtube_channel"": 158000}",2025-04-27,0,0,0,Enrico Nigiotti
23,23,83.0,340000.0,"{""youtube_channel"": 340000}",2025-06-14,519,1,10,Francesco Renga
24,24,98.0,3226623.0,"{""x_twitter_numeric"": 2106623, ""youtube_channel"": 1120000}",2024-03-30,0,0,0,J-Ax
25,25,70.0,49300.0,"{""instagram"": 49300}",2025-11-30,0,0,0,Maria Antonietta & Colombre
26,26,65.0,21649.0,"{""x_twitter_numeric"": 21649}",2023-02-08,0,1,10,Patty Pravo
27,27,66.0,27031.0,"{""x_twitter_numeric"": 27031}",2023-02-05,0,0,0,Raf
28,28,62.0,13202.0,"{""x_twitter_numeric"": 13202}",2023-02-08,0,0,0,Sal Da Vinci
29,29,64.0,19100.0,"{""youtube_channel"": 19100}",2025-07-30,0,0,0,Sayf
30,30,76.0,112000.0,"{""youtube_channel"": 112000}",2025-10-20,0,1,13,Tredici Pietro
