id,artista_id,anno,punteggio_finale,posizione,quotazione_baudi,artista_nome
1,2,2021,,8,38.0,Fedez & Marco Masini
2,2,2025,,21,,Fedez & Marco Masini
3,3,2021,,9,26.0,Arisa
4,4,2022,,2,16.0,Dargen D'Amico
5,4,2024,,2,22.0,Dargen D'Amico
6,5,2021,,5,22.0,Ermal Meta
7,6,2022,,11,23.0,LDA & Aka 7even
8,6,2023,,12,16.0,LDA & Aka 7even
9,7,2023,,18,,Levante
10,9,2021,,15,23.0,Malika Ayane
11,10,2022,,10,23.0,Michele Bravi
12,11,2025,,14,,Serena Brancale
13,15,2021,,21,16.0,Fulminacci
14,16,2023,,27,18.0,Leo Gassmann
15,17,2023,,24,,Mara Sattei
16,21,2022,,13,16.0,Ditonellapiaga
17,23,2021,,20,24.0,Francesco Renga
18,23,2024,,12,20.0,Francesco Renga
